table_name,date,o,h,l,c,v,a
1000001,20200519,2897.69,2900.22,2887.58,2898.58,19722.24,25627780.7104
1000001,20200520,2896.47,2896.47,2876.18,2883.74,21052.0,26917655.3472
1000001,20200521,2890.72,2891.52,2864.21,2867.92,20353.2,25056993.28
1000001,20200522,2863.05,2863.05,2808.02,2813.77,20906.37,24522960.0768
1000001,20200525,2816.24,2821.5,2802.47,2817.97,17288.56,20211535.0528
1000001,20200526,2827.9,2848.34,2825.9,2846.55,17456.24,20742782.976
1000001,20200527,2847.32,2849.0,2831.93,2836.8,19814.93,22793438.8224
1000001,20200528,2838.21,2861.92,2820.15,2846.22,20754.6,23923425.28
1000001,20200529,2835.58,2855.38,2829.63,2852.35,20679.28,23379899.1872
1000001,20200601,2871.96,2917.15,2871.96,2915.43,26019.6,30741620.3264
1000001,20200602,2916.32,2926.36,2909.13,2921.4,25610.8,29440275.2512
1000001,20200603,2930.39,2942.76,2922.66,2923.37,25566.4,30044782.592
1000001,20200604,2931.84,2932.97,2910.75,2919.25,22660.59,25434598.6048
1000001,20200605,2923.19,2930.8,2909.12,2930.8,21736.07,25314113.9456
1000001,20200608,2941.98,2950.07,2934.21,2937.77,23112.44,27461181.44
1000001,20200609,2939.54,2957.12,2932.94,2956.11,20904.86,25141469.184
1000001,20200610,2951.28,2951.33,2934.84,2943.75,20792.6,24396849.152
